
2020-03-24 19:24:53.529305
item,sweet,salty,bitter,sour,umami,astringency
99,0.17667394130317807,0.14146766457299775,0.13987305482388251,0.19219211451507792,0.19926698001449344,0.150526244770370221,0.09508547352478872,0.0904917808007416,0.037536823756294725,0.26484028716237223,0.2993631869068001,0.21268244784900267
2,0.24626364715102084,0.008164436165304384,0.1366038261792262,0.25482193375289003,0.19665508678189494,0.15749106996966358
3,0.2158246904086502,0.14112690753260554,0.11841504434666883,0.1895264076602443,0.2843425951235048,0.050764354928326254
4,0.03509326558407075,0.07167785890891201,0.24835976642746427,0.22631609528264898,0.16207360555054043,0.2564794082463636
5,0.21132810355796655,0.14375699574045742,0.1966396321138008,0.005483700701076697,0.27783320083638885,0.16495836705030958
7,0.2885190421196354,0.02484561978083922,0.030167074751488637,0.2597733301050265,0.2606518089610782,0.13604312428193202
10,0.2921552849317985,0.026510323946212055,0.09290170287814849,0.28480369264481364,0.12943589188445706,0.1741931037145702
11,0.18310549013966324,0.1948331487206693,0.11447030264722922,0.3471203609376068,0.11838204884103647,0.04208864871379506
12,0.10164363414359971,0.2570773866294114,0.2089132217750672,0.1592746131088169,0.05230989359104393,0.22078125075206087
13,0.18180183177461973,0.2109613835686954,0.20042345450152033,0.23859651194423237,0.07382255552186245,0.09439426268906981
14,0.16973419760311437,0.18888825434682896,0.19718485456126555,0.19092563208082328,0.0599699225053883,0.19329713890257966
15,0.16790676766738705,0.031889573075629,0.2393933460265518,0.2568672011486769,0.10590675485130874,0.19803635723044657
21,0.007986346237765174,0.20547712602279303,0.1527316814645222,0.16201786452197772,0.21374502467159986,0.2580419570813419
23,0.135776968041784,0.2263545371327032,0.11718338480118806,0.1582824677493304,0.2700002993445415,0.09240234293045277
24,0.19422787432653996,0.23553087942032996,0.20879397236810696,0.23673488448166213,0.12109231517069674,0.0036200742326643063
25,0.17022782540453968,0.04773292153750186,0.20186564758975406,0.3456796436910386,0.1686235127006688,0.06587044907649697
26,0.021763181803428518,0.20322789222985663,0.23412489795056393,0.15940696146837863,0.22003153602649686,0.16144553052127533
27,0.25984130880956696,0.07781703590588658,0.025377533701543123,0.19868775342240608,0.13547539507768475,0.3028009730829124
28,0.3043012217944942,0.09772751480864181,0.06396222511426003,0.0936814472258214,0.2987454790856524,0.14158211197113013

2020-03-24 19:26:11.972702
item,sweet,salty,bitter,sour,umami,astringency
99,0.17667394130317807,0.14146766457299775,0.13987305482388251,0.19219211451507792,0.19926698001449344,0.150526244770370221,0.09508547352478872,0.0904917808007416,0.037536823756294725,0.26484028716237223,0.2993631869068001,0.21268244784900267
2,0.24626364715102084,0.008164436165304384,0.1366038261792262,0.25482193375289003,0.19665508678189494,0.15749106996966358
3,0.2158246904086502,0.14112690753260554,0.11841504434666883,0.1895264076602443,0.2843425951235048,0.050764354928326254
4,0.03509326558407075,0.07167785890891201,0.24835976642746427,0.22631609528264898,0.16207360555054043,0.2564794082463636
5,0.21132810355796655,0.14375699574045742,0.1966396321138008,0.005483700701076697,0.27783320083638885,0.16495836705030958
7,0.2885190421196354,0.02484561978083922,0.030167074751488637,0.2597733301050265,0.2606518089610782,0.13604312428193202
10,0.2921552849317985,0.026510323946212055,0.09290170287814849,0.28480369264481364,0.12943589188445706,0.1741931037145702
11,0.18310549013966324,0.1948331487206693,0.11447030264722922,0.3471203609376068,0.11838204884103647,0.04208864871379506
12,0.10164363414359971,0.2570773866294114,0.2089132217750672,0.1592746131088169,0.05230989359104393,0.22078125075206087
13,0.18180183177461973,0.2109613835686954,0.20042345450152033,0.23859651194423237,0.07382255552186245,0.09439426268906981
14,0.16973419760311437,0.18888825434682896,0.19718485456126555,0.19092563208082328,0.0599699225053883,0.19329713890257966
15,0.16790676766738705,0.031889573075629,0.2393933460265518,0.2568672011486769,0.10590675485130874,0.19803635723044657
21,0.007986346237765174,0.20547712602279303,0.1527316814645222,0.16201786452197772,0.21374502467159986,0.2580419570813419
23,0.135776968041784,0.2263545371327032,0.11718338480118806,0.1582824677493304,0.2700002993445415,0.09240234293045277
24,0.19422787432653996,0.23553087942032996,0.20879397236810696,0.23673488448166213,0.12109231517069674,0.0036200742326643063
25,0.17022782540453968,0.04773292153750186,0.20186564758975406,0.3456796436910386,0.1686235127006688,0.06587044907649697
26,0.021763181803428518,0.20322789222985663,0.23412489795056393,0.15940696146837863,0.22003153602649686,0.16144553052127533
27,0.25984130880956696,0.07781703590588658,0.025377533701543123,0.19868775342240608,0.13547539507768475,0.3028009730829124
28,0.3043012217944942,0.09772751480864181,0.06396222511426003,0.0936814472258214,0.2987454790856524,0.14158211197113013

2020-03-24 19:33:34.738558
item,sweet,salty,bitter,sour,umami,astringency
99,0.17667394130317807,0.14146766457299775,0.13987305482388251,0.19219211451507792,0.19926698001449344,0.150526244770370221,0.09508547352478872,0.0904917808007416,0.037536823756294725,0.26484028716237223,0.2993631869068001,0.21268244784900267
2,0.24626364715102084,0.008164436165304384,0.1366038261792262,0.25482193375289003,0.19665508678189494,0.15749106996966358
3,0.2158246904086502,0.14112690753260554,0.11841504434666883,0.1895264076602443,0.2843425951235048,0.050764354928326254
4,0.03509326558407075,0.07167785890891201,0.24835976642746427,0.22631609528264898,0.16207360555054043,0.2564794082463636
5,0.21132810355796655,0.14375699574045742,0.1966396321138008,0.005483700701076697,0.27783320083638885,0.16495836705030958
7,0.2885190421196354,0.02484561978083922,0.030167074751488637,0.2597733301050265,0.2606518089610782,0.13604312428193202
10,0.2921552849317985,0.026510323946212055,0.09290170287814849,0.28480369264481364,0.12943589188445706,0.1741931037145702
11,0.18310549013966324,0.1948331487206693,0.11447030264722922,0.3471203609376068,0.11838204884103647,0.04208864871379506
12,0.10164363414359971,0.2570773866294114,0.2089132217750672,0.1592746131088169,0.05230989359104393,0.22078125075206087
13,0.18180183177461973,0.2109613835686954,0.20042345450152033,0.23859651194423237,0.07382255552186245,0.09439426268906981
14,0.16973419760311437,0.18888825434682896,0.19718485456126555,0.19092563208082328,0.0599699225053883,0.19329713890257966
15,0.16790676766738705,0.031889573075629,0.2393933460265518,0.2568672011486769,0.10590675485130874,0.19803635723044657
21,0.007986346237765174,0.20547712602279303,0.1527316814645222,0.16201786452197772,0.21374502467159986,0.2580419570813419
23,0.135776968041784,0.2263545371327032,0.11718338480118806,0.1582824677493304,0.2700002993445415,0.09240234293045277
24,0.19422787432653996,0.23553087942032996,0.20879397236810696,0.23673488448166213,0.12109231517069674,0.0036200742326643063
25,0.17022782540453968,0.04773292153750186,0.20186564758975406,0.3456796436910386,0.1686235127006688,0.06587044907649697
26,0.021763181803428518,0.20322789222985663,0.23412489795056393,0.15940696146837863,0.22003153602649686,0.16144553052127533
27,0.25984130880956696,0.07781703590588658,0.025377533701543123,0.19868775342240608,0.13547539507768475,0.3028009730829124
28,0.3043012217944942,0.09772751480864181,0.06396222511426003,0.0936814472258214,0.2987454790856524,0.14158211197113013
